1	Power	Debuff	False	perc	100000	0	0.1	Clear Conscience			Decreases Power and Attack to $H_W_BAD90%$COLOR_END.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Power	Buff	True	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Endurance	Buff	True	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
3	NoMPDecay	Buff	True	seta	1800000	0	0	TEST_NoNaturalMPRegeneration			No natural MP regeneration! For 30 minutes! BTS needed if this message is displayed.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
4	Stun	Buff	True	swch	3600000	0	4	Stun Bomb	7215	Stun Bomb	Stun effect	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
5	Drunk1	Debuff	True	seta	100000	0	0	Non-Effect Debuff			Non-effect debuff	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
6	Immune	Debuff	True	seta	100000	0	0	Damage Absolute Invincibility			Damage absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Stun	Debuff	True	seta	100000	0	5	Damage Half Invincibility			Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Immune	Debuff	True	abs	100000	0	0	Damage Half Invincibility			Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
8	Immune	Debuff	True	setp	100000	0	0	Debuff Absolute Invincibility			Debuff absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
9	Immune	Debuff	True	8	100000	0	0	Debuff Half Invincibility			Debuff half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	Immune	Debuff	True	16	100000	0	0	Reaction Absolute Invincibility			Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	StatusImmune	Debuff	True	swch	100000	0	0	Reaction Absolute Invincibility			Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	Immune	Debuff	True	26	60000	0	0	Stone			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
11	StunKnockDown	Debuff	True	seta	60000	0	6	Stone			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
11	StatusImmune	Debuff	True	swch	60000	0	0	Stone			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
12	Immune	Debuff	True	21	10000	0	0	Vortex			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	StunKnockDown	Debuff	True	seta	10000	0	5	Vortex			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	247	Debuff	True	perc	10000	0	100	Vortex			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	StatusImmune	Debuff	True	swch	10000	0	0	Vortex			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
13	Immune	Debuff	True	20	60000	0	0	Unchained Goddess			Unchained goddess	icon_skills.adventgoddess_tex	icon_skills.voidtrap_tex	True
13	StatusImmune	Debuff	True	swch	60000	0	0	Unchained Goddess			Unchained goddess	icon_skills.adventgoddess_tex	icon_skills.voidtrap_tex	True
15	OutOfCombatMovSpd	Buff	True	abs	600000	0	10	Blessing of Zenobia			Increases noncombat Movement Speed by $H_W_GOOD10$COLOR_END.	icon_skills.fastwalk_tex	icon_skills.fastwalk_tex	True
21	KnockDownChance	Buff	True	perc	900000	0	10	Chasing and Hunting_Reaction_Resistance Test			Increases the chance of reaction resistance 10 times.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
22	Attack	Buff	True	perc	1200000	0	1.4	Test_Increased Skill Damage			Test only: Increases all skill damage by 40%!	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
23	CritChance	Buff	True	abs	60000	0	1	Automatic Critical Hits			All your attacks are critical hits.$BRTest Only			True
24	161	Buff	True	setp	60000	0	23	Grant Automatic Critical Hits			Grant automatic critical hits to enemy.$BRTest Only			True
24	CritChance	Buff	True	abs	60000	0	1	Grant Automatic Critical Hits			Grant automatic critical hits to enemy.$BRTest Only			True
25	MPChange	Buff	True	perc	100000	1	0.5	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex	icon_status.pluswill_tex	True
