60340120	Common	Common	Common	Припасы Федерации: Настой ноктиния (off)			icon_items.union_supplies5_tex
8400015	Common	Common	Common	Настой ноктиния (off)			icon_items.union_supplies5_tex
8400060	Common	Common	Common	Исключительный настой ноктиния (off)			icon_items.union_supplies5_tex
8400080	Common	Common	Common	Настой ноктиния альянса (off)			icon_items.union_supplies5_tex
8400100	Common	Common	Common	Настой ноктиния из сокровищницы (off)			icon_items.union_supplies5_tex
8400120	Common	Common	Common	Припасы Федерации: Настой ноктиния (off)			icon_items.union_supplies5_tex
51016	Common	Common	Gunner	Заградительный огонь X	False		icon_skills.gatlingshot_tex
51026	Common	Common	Gunner	Лучевой заградительный огонь	False		icon_skills.gatlingshot_awaken_tex
51036	Common	Common	Gunner	Лучевой заградительный огонь	False		icon_skills.gatlingshot_awaken_tex
61122	Common	Common	Gunner	Часовая бомба XI	False	Boom	icon_skills.timebombshot_tex
71121	Common	Common	Gunner	Разрывной снаряд	False	Boom	icon_skills.arcaneshockshot01_tex
71122	Common	Common	Gunner	Разрывной снаряд	False	Boom	icon_skills.arcaneshockshot01_tex
410131	Common	Common	Warrior	Режущий удар	False	hit 2	icon_skills.tumblingattack_tex
80611	Common	Common	Archer	Беглый огонь	False	hit 1	icon_skills.rapidshot_tex
80612	Common	Common	Archer	Беглый огонь	False	hit 2	icon_skills.rapidshot_tex
80613	Common	Common	Archer	Беглый огонь	False	hit 3	icon_skills.rapidshot_tex
80614	Common	Common	Archer	Беглый огонь	False	hit 4	icon_skills.rapidshot_tex
360221	Common	Common	Sorcerer	Буйство стихии	False	fire	icon_skills.primalfire_tex
360222	Common	Common	Sorcerer	Буйство стихии	False	force	icon_skills.primalfire_tex
360224	Common	Common	Sorcerer	Буйство стихии	False	ice	icon_skills.primalfire_tex
80101	Common	Common	Archer	Беглый огонь I	False	hit 2	icon_skills.rapidshot_tex
80103	Common	Common	Archer	Беглый огонь I	False	hit 4	icon_skills.rapidshot_tex
80104	Common	Common	Archer	Беглый огонь I	False	hit 5	icon_skills.rapidshot_tex
80105	Common	Common	Archer	Беглый огонь I	False	hit 6	icon_skills.rapidshot_tex
80106	Common	Common	Archer	Беглый огонь I	False	hit 7	icon_skills.rapidshot_tex
80201	Common	Common	Archer	Беглый огонь II	False	hit 2	icon_skills.rapidshot_tex
